id,Name
1,Computer Science
2,Marine Biology
3,Mathematics
4,Renewable Energy Systems
5,Chemical Engineering
6,Civil Engineering
7,Software Engineering
8,Nanotechnology
9,Physics
10,Civil Engineering
11,Blockchain Technology
12,Environmental Engineering
13,Pharmacology
14,Aerospace Engineering
15,Neuroscience
16,STEM-Oriented Majors
17,Civil Engineering
18,Human-Computer Interaction
19,Biomedical Engineering
20,Neuroscience
21,Environmental Science
22,Cybersecurity
23,Cognitive Science
24,Mechanical Engineering
25,Agricultural Engineering
26,Mechanical Engineering
27,Cognitive Science
28,Marine Biology
29,Nanotechnology
30,Game Design and Development
31,Game Design and Development
32,Robotics
33,Bioinformatics
34,Virtual Reality Development
35,Geology
36,Chemical Engineering
37,Data Science
38,Statistics
39,Virtual Reality Development
40,Ecology
